ref;fournisseur;site_associe;designation;Prix achat dont ecotaxe;loyer;description;url_image
10133IZC90027IZC;HEXAMED MATERIEL MEDICAL;hexamed;Accessoires pour négatoscope numérique Dgscope A22 - Protection d'écran anti-choc acier;520,83;10,45;"<p>Accessoires venant en complément du négatoscope numérique Dgscope A22.</p>
<p> </p>
<p><span style=""text-decoration: underline;""><strong>Références au choix :</strong></span></p>
<p><span style=""text-decoration: underline;"">- Mallette de transport</span><span style=""line-height: 1.5em;""> : mallette haute protection transportable. Sur roulettes, bras dépliable pendant le transport.</span></p>
<p><span style=""text-decoration: underline;"">- Protection d'écran anti-choc en acier</span><span style=""line-height: 1.5em;""> </span></p>
<p><span style=""text-decoration: underline;"">- Kit Wifi</span> </p>
<p><span style=""text-decoration: underline;"">- Chariot mobile</span> : <span style=""line-height: 1.5em;"">En acier peint, système chasse câble, permet l'ajustement en hauteur et inclinaison par verin pneumatique. Piètement anti-basculement à 5 bras, munis de 5 roulettes antistatiques, dont 2 à frein.</span></p>
<p>Mât télescopique permettant un réglage de la hauteur, grâce à un vérin à gaz, à blocage élastique. Le déblocage s'effectue à l'aide d'une pédale. Le blocage à la hauteur souhaitée se fait par le relâchement del a pression exercée sur la pédale.</p>
<p>Poignée rectangulaireà 4 fonctions : tirer ou pousser le chariot, assister la montée ou la descente du mât, assurer la rotation du poste de lecture et protéger l'écran des chocs.</p>
<p>Platine articulée, à friction, solidaire du mât, permettant la fixation des écrans standard. Les entraxes de trous, au carré, sont de type VESA 75 et 100mm, ou de 4"" et 5"". La platine est orientable suivant un axe horizontal, permettant l'inclinaison de l'écran de +30° à -30°. Cette platine est équipée d'une poignée permettant de régler le frottement et donc l'effort à fournir, pour le réglage et le maintien de l'écran à l'angle désiré.</p>
<p>L'ensemble est revêtu d'une peinture polyester couleur RAL9002.</p>
<p>Entretien : aucune opération de maintenance n'est préconisée. Le chariot supporte les lavages par les produits détergents courants, pulvérisés ou non, à l'exclusion des produits corrosifs, abrasifs chlorés ou iodés. Les modes de désinfection et de décontamination courants sont acceptés (chaleur humide et chaleur sêche.</p>
<p>Hauteur maximum de lecture : 1170mm</p>
<p>Hauteur minimum de lecture : 1020mm (réglage en continu sans incrément)</p>
<p>Encombrement : 720x720x1100mm</p>
<p>Poids : 21 kg</p>
<p>Charge admise : 21 kg</p>";https://www.hexamed-leasing.fr/18117-home_default/accessoires-pour-negatoscope-numerique-dgscope-a22.jpg
10136ARI90028ARI;HEXAMED MATERIEL MEDICAL;hexamed;Fauteuil ORL fixe Carina - Sans roulettes;1958,03;39,66;"<p><strong>Fauteuil ORL à hauteur fixe 50 cm</strong>.</p>
<p> </p>
<p><span style=""text-decoration:underline;"">Spécificités :</span></p>
<p>Sellerie en forme ergonomique, très grand confort épaisseur 8 cm, largeur 550 mm, non feu classé M1, 32 couleurs au choix, Spécialement développée pour un confort optimum du patient ( très bon maintien lombaire )</p>
<p>Têtière réglable en hauteur et spécialement adaptée pour les consultations ORL</p>
<p>Réglage du dossier en toutes positions par un vérin à gaz</p>
<p>Equipé de 4 roulettes à frein diamètre 100mm</p>
<p>Equipé de 2 accoudoirs escamotables</p>
<p>La jambière peut être mise en position verticale</p>
<p>Position de Trendelenburg</p>
<p>Coloris initial du piètement : gris clair.</p>
<p>Capacité de charge : 130 Kg</p>
<p> </p>
<p><span style=""text-decoration:underline;"">Modèles au choix : </span></p>
<p style=""text-align:justify;"">- Réf.10136ARI : fauteuil ORL équipé d'une têtière et de 2 accoudoirs escamotables, hauteur fixe 50 cm</p>
<p style=""text-align:justify;"">- Réf.10137ARI : fauteuil ORL équipé d'une têtière et de 2 accoudoirs escamotables, hauteur fixe 50 cm, équipé de 4 roulettes à freins dimaètre 125 mm </p>
<p style=""text-align:justify;"">- Réf.17279ARI : fauteuil ORL équipé d'une têtière réglable et de 2 accoudoirs escamotables, hauteur fixe 50 cm, dossier réglable par vérin à gaz, socle chromé </p>
<p style=""text-align:justify;""></p>
<p style=""text-align:justify;""><em>Garantie : châssis : 2 ans, sellerie : 1 an.</em></p>
<p> </p>
<p style=""text-align:center;""><span style=""color:#ff0000;""> ________________________________________________________________________________________________________________</span></p>
<p style=""text-align:center;""><span style=""text-decoration:underline;""><span style=""color:#ff0000;text-decoration:underline;"">Transport du mobilier :</span></span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;""><strong>Livraison de base pas de porte à l'adresse indiquée.</strong></span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">Pour toute livraison en RDC ou à l'étage, merci d'ajouter une des deux prestations de la fiche référence 91334RES.</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">Pour information, la souscription de cette prestation supplémentaire implique un allongement du délai de livraison de 10 jours ouvrés</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">par rapport au délai annoncé sur le site.</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;""> ________________________________________________________________________________________________________________</span></p>";https://www.hexamed-leasing.fr/26131-home_default/fauteuil-orl-carina-a-hauteur-fixe.jpg
10137ARI90028ARI;HEXAMED MATERIEL MEDICAL;hexamed;Fauteuil ORL fixe Carina - Avec roulettes;2191,67;44,27;"<p><strong>Fauteuil ORL à hauteur fixe 50 cm</strong>.</p>
<p> </p>
<p><span style=""text-decoration:underline;"">Spécificités :</span></p>
<p>Sellerie en forme ergonomique, très grand confort épaisseur 8 cm, largeur 550 mm, non feu classé M1, 32 couleurs au choix, Spécialement développée pour un confort optimum du patient ( très bon maintien lombaire )</p>
<p>Têtière réglable en hauteur et spécialement adaptée pour les consultations ORL</p>
<p>Réglage du dossier en toutes positions par un vérin à gaz</p>
<p>Equipé de 4 roulettes à frein diamètre 100mm</p>
<p>Equipé de 2 accoudoirs escamotables</p>
<p>La jambière peut être mise en position verticale</p>
<p>Position de Trendelenburg</p>
<p>Coloris initial du piètement : gris clair.</p>
<p>Capacité de charge : 130 Kg</p>
<p> </p>
<p><span style=""text-decoration:underline;"">Modèles au choix : </span></p>
<p style=""text-align:justify;"">- Réf.10136ARI : fauteuil ORL équipé d'une têtière et de 2 accoudoirs escamotables, hauteur fixe 50 cm</p>
<p style=""text-align:justify;"">- Réf.10137ARI : fauteuil ORL équipé d'une têtière et de 2 accoudoirs escamotables, hauteur fixe 50 cm, équipé de 4 roulettes à freins dimaètre 125 mm </p>
<p style=""text-align:justify;"">- Réf.17279ARI : fauteuil ORL équipé d'une têtière réglable et de 2 accoudoirs escamotables, hauteur fixe 50 cm, dossier réglable par vérin à gaz, socle chromé </p>
<p style=""text-align:justify;""></p>
<p style=""text-align:justify;""><em>Garantie : châssis : 2 ans, sellerie : 1 an.</em></p>
<p> </p>
<p style=""text-align:center;""><span style=""color:#ff0000;""> ________________________________________________________________________________________________________________</span></p>
<p style=""text-align:center;""><span style=""text-decoration:underline;""><span style=""color:#ff0000;text-decoration:underline;"">Transport du mobilier :</span></span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;""><strong>Livraison de base pas de porte à l'adresse indiquée.</strong></span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">Pour toute livraison en RDC ou à l'étage, merci d'ajouter une des deux prestations de la fiche référence 91334RES.</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">Pour information, la souscription de cette prestation supplémentaire implique un allongement du délai de livraison de 10 jours ouvrés</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">par rapport au délai annoncé sur le site.</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;""> ________________________________________________________________________________________________________________</span></p>";https://www.hexamed-leasing.fr/26131-home_default/fauteuil-orl-carina-a-hauteur-fixe.jpg
10140ARI;HEXAMED MATERIEL MEDICAL;hexamed;Fauteuil ORL électrique Carina;3078,33;61,73;"<p style=""text-align: left;""><strong>Fauteuil ORL Carina électrique</strong>.</p><p style=""text-align: left;""><strong><span style=""text-decoration: underline;""><br /></span></strong></p><p style=""text-align: left;""><span style=""text-decoration: underline;"">Spécificités :</span></p><p>Sellerie en forme ergonomique, très grand confort épaisseur 8 cm, largeur 550, non feu classé M1, coloris au choix, spécialement développée pour un confort optimum du patient ( très bon maintien lombaire )</p><p>Têtière réglable en hauteur et spécialement adaptée pour les consultations ORL</p><p>Réglage du dossier en toutes positions par un vérin à gaz synchronisé avec la jambière</p><p>Qualité acier, revêtement peinture époxy coloris gris clair</p><p>Equipé de 2 accoudoirs escamotables</p><p>La jambière peut être mise en position verticale</p><p>Position de Trendelenburg</p><p>Capacité de charge : 130 Kg</p><p> </p><p><em>Garantie : châssis : 2 ans, sellerie : 1 an.</em></p><p> </p><p style=""text-align: center;""><span style=""color: #ff0000;""> ________________________________________________________________________________________________________________</span></p><p style=""text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff0000; text-decoration: underline;"">Transport du mobilier :</span></span></p><p style=""text-align: center;""><span style=""color: #ff0000;""><strong>Livraison de base pas de porte à l'adresse indiquée.</strong></span></p><p style=""text-align: center;""><span style=""color: #ff0000;"">Pour toute livraison en RDC ou à l'étage, merci d'ajouter une des deux prestations de la fiche référence 91334RES.</span></p><p style=""text-align: center;""><span style=""color: #ff0000;"">Pour information, la souscription de cette prestation supplémentaire implique un allongement du délai de livraison de 10 jours ouvrés</span></p><p style=""text-align: center;""><span style=""color: #ff0000;"">par rapport au délai annoncé sur le site.</span></p><p style=""text-align: center;""><span style=""color: #ff0000;""> ________________________________________________________________________________________________________________</span></p>";https://www.hexamed-leasing.fr/14646-home_default/fauteuil-orl-carina-a-hauteur-variable-electrique.jpg
10142ARI90030ARI;HEXAMED MATERIEL MEDICAL;hexamed;Fauteuil ORL hydraulique Carina - Laqué;1766,67;35,89;"<p><strong>Fauteuil ORL à hauteur variable hydraulique</strong>.</p><p><span style=""text-decoration: underline;""><br /></span></p><p><span style=""text-decoration: underline;"">Spécificités :</span></p><p>Sellerie en forme ergonomique, très grand confort épaisseur 8cm, largeur 550, non feu classé M1, coloris au choix, spécialement développée pour un confort optimum du patient (très bon maintien lombaire )</p><p>Têtière réglable en hauteur et spécialement adaptée pour les consultations ORL</p><p>Réglage du dossier en toutes positions par un vérin à gaz synchronisé avec la jambière</p><p>Pied socle chromé ou pied laqué époxy.</p><p>Equipé de 2 accoudoirs escamotables</p><p>La jambière peut être mise en position verticale</p><p>Position de Trendelenburg</p><p>Rotatif à 360°</p><p>Capacité de charge : 130 Kg</p><p> </p><p><em>Garantie : châssis : 2 ans, sellerie : 1 an.</em></p><p> </p><p style=""text-align: center;""><span style=""color: #ff0000;""> ________________________________________________________________________________________________________________</span></p><p style=""text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff0000; text-decoration: underline;"">Transport du mobilier :</span></span></p><p style=""text-align: center;""><span style=""color: #ff0000;""><strong>Livraison de base pas de porte à l'adresse indiquée.</strong></span></p><p style=""text-align: center;""><span style=""color: #ff0000;"">Pour toute livraison en RDC ou à l'étage, merci d'ajouter une des deux prestations de la fiche référence 91334RES.</span></p><p style=""text-align: center;""><span style=""color: #ff0000;"">Pour information, la souscription de cette prestation supplémentaire implique un allongement du délai de livraison de 10 jours ouvrés</span></p><p style=""text-align: center;""><span style=""color: #ff0000;"">par rapport au délai annoncé sur le site.</span></p><p style=""text-align: center;""><span style=""color: #ff0000;""> ________________________________________________________________________________________________________________</span></p><p> </p>";https://www.hexamed-leasing.fr/28672-home_default/fauteuil-orl-carina-a-hauteur-variable-hydraulique.jpg
10144ARI90030ARI;HEXAMED MATERIEL MEDICAL;hexamed;Fauteuil ORL hydraulique Carina - Chromé;1841,67;37,37;"<p><strong>Fauteuil ORL à hauteur variable hydraulique</strong>.</p><p><span style=""text-decoration: underline;""><br /></span></p><p><span style=""text-decoration: underline;"">Spécificités :</span></p><p>Sellerie en forme ergonomique, très grand confort épaisseur 8cm, largeur 550, non feu classé M1, coloris au choix, spécialement développée pour un confort optimum du patient (très bon maintien lombaire )</p><p>Têtière réglable en hauteur et spécialement adaptée pour les consultations ORL</p><p>Réglage du dossier en toutes positions par un vérin à gaz synchronisé avec la jambière</p><p>Pied socle chromé ou pied laqué époxy.</p><p>Equipé de 2 accoudoirs escamotables</p><p>La jambière peut être mise en position verticale</p><p>Position de Trendelenburg</p><p>Rotatif à 360°</p><p>Capacité de charge : 130 Kg</p><p> </p><p><em>Garantie : châssis : 2 ans, sellerie : 1 an.</em></p><p> </p><p style=""text-align: center;""><span style=""color: #ff0000;""> ________________________________________________________________________________________________________________</span></p><p style=""text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff0000; text-decoration: underline;"">Transport du mobilier :</span></span></p><p style=""text-align: center;""><span style=""color: #ff0000;""><strong>Livraison de base pas de porte à l'adresse indiquée.</strong></span></p><p style=""text-align: center;""><span style=""color: #ff0000;"">Pour toute livraison en RDC ou à l'étage, merci d'ajouter une des deux prestations de la fiche référence 91334RES.</span></p><p style=""text-align: center;""><span style=""color: #ff0000;"">Pour information, la souscription de cette prestation supplémentaire implique un allongement du délai de livraison de 10 jours ouvrés</span></p><p style=""text-align: center;""><span style=""color: #ff0000;"">par rapport au délai annoncé sur le site.</span></p><p style=""text-align: center;""><span style=""color: #ff0000;""> ________________________________________________________________________________________________________________</span></p><p> </p>";https://www.hexamed-leasing.fr/28672-home_default/fauteuil-orl-carina-a-hauteur-variable-hydraulique.jpg
10154ARI;HEXAMED MATERIEL MEDICAL;hexamed;Paire d'étriers (sans étaux) pour divan ou fauteuil d'examen Carina;115;2,46;"<p><strong>Etriers standards sans étau en acier chromé</strong>.</p>
<p><br />Diamètre : 14 mm.</p>
<p><span style=""text-decoration:underline;""><br />Conditionnement :</span> la paire.</p>
<p><em><br /><span style=""color:#f40d0d;"">Il est impératif de commander avec cet article les étaux, disponibles dans l'onglet ""Accessoires"" (attention, la référence de la paire d'étaux varie en fonction du modèle de divan commandé)</span></em></p>";https://www.hexamed-leasing.fr/22436-home_default/jeu-d-etriers-standards-sans-etau-carina.jpg
10155ARI;HEXAMED MATERIEL MEDICAL;hexamed;Gouttière mousse (prise de sang) pour divan ou fauteuil d'examen Carina;154,17;3,23;"<p><strong>Gouttière pour prise de sang pour fauteuils et divans Carina</strong>.</p>
<p>Revêtement de classe anti-feu M1</p>
<p>Plusieurs coloris au choix.</p>
<p> </p>
<p><span style=""text-decoration:underline;"">Spécificités :</span></p>
<p>- Equipée d'une tige permettant le réglage en hauteur et en profondeur.</p>
<p>- Equipée d'un mécanisme sécurisé permettant son inclinaison.</p>
<p>- Diamètre : 14 mm.</p>
<p>- Livrée avec ferrrure mais <span style=""text-decoration:underline;"">sans étau</span> (étaux à commander en supplément)</p>
<p> </p>
<p><span style=""text-decoration:underline;"">Conditionnement :</span> à l'unité.</p>
<p> </p>
<p><span style=""color:#ff0000;""><em>Il est impératif de commander avec cet article les étaux, disponibles dans l'onglet ""Accessoires"" (attention, la référence de la paire d'étaux varie en fonction du modèle de divan commandé)</em></span></p>
<p><em> </em></p>";https://www.hexamed-leasing.fr/14267-home_default/gouttiere-mousse-prise-de-sang-pour-divan-ou-fauteuil-d-examen-carina.jpg
10157ARI;HEXAMED MATERIEL MEDICAL;hexamed;Gouttière polyuréthane (prise de sang) pour divan ou fauteuil d'examen Carina;113,33;2,43;"<p><strong>Gouttière en polyuréthane noir pour prise de sang</strong> adaptable sur les divans et fauteuils d'examen Carina.</p><p> </p><p><span style=""text-decoration: underline;"">Spécificités :</span></p><p>- Equipée d'une tige permettant le réglage en hauteur et en profondeur.</p><p>- Equipée d'un mécanisme sécurisé permettant son inclinaison.</p><p>- Avec ferrure mais sans étau (les étaux sont à commander en supplément)</p><p>- Coloris unique : noir</p><p> </p><p><span style=""text-decoration: underline;"">Conditionnement :</span> à l'unité.</p><p> </p><p><em>Garantie : châssis : 2 ans, sellerie : 1 an.</em></p>";https://www.hexamed-leasing.fr/14268-home_default/gouttiere-prise-de-sang-polyurethane-carina.jpg
10166ARI;HEXAMED MATERIEL MEDICAL;hexamed;Tige porte sérum avec paire d'étaux de fixation pour divan ou fauteuil d'examen Carina;175;3,64;"<p><strong>Tige porte sérum pour divans d'examens Carina</strong>.</p>
<p> </p>
<p><span style=""text-decoration:underline;"">Spécificités :</span></p>
<p>- 2 crochets plastiques.</p>
<p>- avec jeux d'étaux de fixation.</p>";https://www.hexamed-leasing.fr/14271-home_default/tige-porte-serum-avec-paire-d-etaux-de-fixation-pour-divan-ou-fauteuil-d-examen-carina.jpg
10183ARI90039ARI;HEXAMED MATERIEL MEDICAL;hexamed;Têtière demi-lune pour divan ou fauteuil d'examen Carina - 600 mm;75,84;1,69;"<p><strong>Têtière demi-lune pour divan Carina</strong>.</p><p>Revêtement anti-feu M1.</p><p>Plusieurs coloris au choix.</p><p> </p><p><span style=""text-decoration: underline;"">Modèles au choix :</span></p><p>- Largeur 600</p><p>- Largeur 700</p><p>- Largeur 800</p><p> </p><p><em>Garantie : 1 an.</em></p>";https://www.hexamed-leasing.fr/28143-home_default/tetiere-demi-lune-pour-divan-carina.jpg
10185ARI90039ARI;HEXAMED MATERIEL MEDICAL;hexamed;Têtière demi-lune pour divan ou fauteuil d'examen Carina - 700 mm;92,6;2,02;"<p><strong>Têtière demi-lune pour divan Carina</strong>.</p><p>Revêtement anti-feu M1.</p><p>Plusieurs coloris au choix.</p><p> </p><p><span style=""text-decoration: underline;"">Modèles au choix :</span></p><p>- Largeur 600</p><p>- Largeur 700</p><p>- Largeur 800</p><p> </p><p><em>Garantie : 1 an.</em></p>";https://www.hexamed-leasing.fr/28143-home_default/tetiere-demi-lune-pour-divan-carina.jpg
10187ARI90039ARI;HEXAMED MATERIEL MEDICAL;hexamed;Têtière demi-lune pour divan ou fauteuil d'examen Carina - 800 mm;111,76;2,4;"<p><strong>Têtière demi-lune pour divan Carina</strong>.</p><p>Revêtement anti-feu M1.</p><p>Plusieurs coloris au choix.</p><p> </p><p><span style=""text-decoration: underline;"">Modèles au choix :</span></p><p>- Largeur 600</p><p>- Largeur 700</p><p>- Largeur 800</p><p> </p><p><em>Garantie : 1 an.</em></p>";https://www.hexamed-leasing.fr/28143-home_default/tetiere-demi-lune-pour-divan-carina.jpg
10189ARI;HEXAMED MATERIEL MEDICAL;hexamed;Paire d'étaux pour divan d'examen Carina 124 et Ecoplus;95,83;2,08;"<p><strong>Etaux pour divan d'examen Carina gamme 124</strong>.</p><p>Nécessaires pour la fixation d'accessoires sur la structure de la table médicale.</p><p>Egalement compatibles avec la gamme Ecoplus.</p><p> </p><p><span style=""text-decoration: underline;"">Conditionnement :</span> la paire.</p><p> </p><p><span style=""color: #ff0000;""><em>A commander en même temps que le divan.</em></span></p>";https://www.hexamed-leasing.fr/21074-home_default/jeu-d-etaux-pour-divan-carina-gamme-124-et-ecoplus.jpg
10190ARI;HEXAMED MATERIEL MEDICAL;hexamed;Etau unitaire pour d'examen Carina 124 et Ecoplus;52,25;1,22;"<p><strong>Etau pour divan d'examen Carina gamme 124</strong>.</p><p>Nécessaire pour la fixation d'accessoires sur la structure de la table médicale.</p><p>Egalement compatible avec la gamme Ecoplus.</p><p> </p><p><span style=""text-decoration: underline;"">Conditionnement :</span> l'unité.</p><p> </p><p><span style=""color: #ff0000;""><em>A commander en même temps que le divan.</em></span></p>";https://www.hexamed-leasing.fr/21075-home_default/etau-unitaire-pour-divan-carina-gamme-124-et-ecoplus.jpg
10191ARI92338ARI;HEXAMED MATERIEL MEDICAL;hexamed;Paire d'étaux pour divan ou fauteuil d'examen Carina - Etaux pour divans gamme 326;78,67;1,74;"<p><strong>Etaux pour divans ou fauteuil Carina.</strong></p>
<p>Pour fixation des accessoires sur la structure de la table médicale.</p>
<p>Avec 2 molettes de serrage.</p>
<p><br /><span style=""text-decoration:underline;"">Modèles au choix :</span></p>
<p>- 10191ARI : Etaux pour les divans 2 et 3 parties gamme 326</p>
<p>- 27832ARI : Etaux pour le divan Ovalia 2 ou 3 plans - 70 cm de large</p>
<p>- 27833ARI : Etaux pour le divan Ovalia 2 ou 3 plans - 80 cm de large</p>
<p><br /><span style=""text-decoration:underline;"">Conditionnement :</span> la paire.<br /><br /></p>
<p><br /><em><span style=""color:#f60b0b;"">A commander en même temps que le divan.</span></em></p>";https://www.hexamed-leasing.fr/14264-home_default/paire-d-etaux-pour-divan-ou-fauteuil-d-examen-carina.jpg
10195ARI;HEXAMED MATERIEL MEDICAL;hexamed;Paire de repose-jambes sur rotule pour divan ou fauteuil d'examen Carina;189,17;3,92;"<p><strong>Repose jambes Carina sur rotule</strong>.</p>
<p> </p>
<p><span style=""text-decoration:underline;"">Spécificités :</span></p>
<p>- En mousse polyuréthane.</p>
<p>- Diamètre 14mm.</p>
<p>- Sans étau.</p>
<p> </p>
<p><span style=""text-decoration:underline;"">Paires d'étaux compatibles :</span></p>
<p><span>- pour les divans de la gamme ecomax : 10181ARI / 10179ARI</span></p>
<p><span>- pour les divans gamme 124 et Ecoplus : 10189ARI</span></p>
<p><span>- pour les divans gammes Ovalia et 326 : 10191ARI</span></p>
<p></p>
<p><span style=""text-decoration:underline;"">Conditionnement :</span> la paire.</p>
<p> </p>
<p><span style=""color:#f20707;""><em>Il est impératif de commander avec cet article les étaux, disponibles dans l'onglet ""Accessoires"" (attention, la référence de la paire d'étaux varie en fonction du modèle de divan commandé)</em></span></p>";https://www.hexamed-leasing.fr/22435-home_default/paire-de-repose-jambes-sur-rotule-pour-divan-ou-fauteuil-d-examen-carina.jpg
10207ARI;HEXAMED MATERIEL MEDICAL;hexamed;Pédale avec cordon Y pour divan d'examen Carina Ovalia (double commande);292,5;5,96;"<p><strong>Pédale pour divan avec cordon Y</strong>.</p>
<p>Pour divan d'examen Carina Ovalia 3 parties électrique.</p>
<p>Cette option vous permet de conserver la commande manuelle sur votre divan mais d'installer en complément la commande au pied.</p>
<p> </p>
<p><span style=""color:#ff0000;""><em>A commander avec le divan d'examen.</em></span></p>";https://www.hexamed-leasing.fr/28151-home_default/pedale-pour-divan-carina-gamme-ovalia-et-cordon-y-double-commande.jpg
10208ARI;HEXAMED MATERIEL MEDICAL;hexamed;Têtière ergonomique pour fauteuil d'examen Carina;79,33;1,76;"<p>Têtière ergonomique Carina.</p>
<p>Sellerie revêtement anti-feu M1.</p>
<p>Plusieurs coloris au choix.</p>
<p><br /><strong>Compatibles avec les tables médicales suivantes :</strong></p>
<p>- Fauteuil de gynécologie Carina 625 à hauteur fixe</p>
<p>- Fauteuil de gynécologie Carina 725 électrique (1 moteur)</p>
<p>- Fauteuil de prélèvement Carina Luvia à hauteur variable</p>
<p>- Divan d'examen Carina Ovalia 3 parties électrique (3 moteurs)</p>
<p>- Divan d'examen Carina Ovalia 2 parties hydraulique</p>
<p><br /><em>Garantie : 1 an.</em></p>";https://www.hexamed-leasing.fr/28142-home_default/tetiere-ergonomique-pour-fauteuil-d-examen-carina.jpg
10260ARI90045ARI;HEXAMED MATERIEL MEDICAL;hexamed;Divan d'examen fixe Carina 124 - 80 cm;765,83;15,92;"<div style=""font:normal normal normal 12px/1.5em 'Lucida Grande', Helvetica, Arial, sans-serif;height:94%;padding:0px;margin:0px;"">
<p style=""text-align:justify;"">Le <strong>divan d'examen Carina 124 à hauteur fixe</strong>, disponible en 65 cm ou 80 cm de hauteur, est un équipement de base que se doit de posséder tout établissement de santé (service hospitalier, cabinet médical, infirmeries d’écoles et d’entreprises, …).</p>
<p style=""text-align:justify;"">La notoriété du fabricant français Carina Médical n’est plus à faire et l’ensemble des gammes que l’entreprise propose sont marquées par une volonté de fournir aux professionnels de santé du matériel confortable de haute qualité.</p>
<p style=""text-align:justify;"">C’est dans cette optique qu’est commercialisé le <strong>divan d'examen Carina 124 à hauteur fixe, </strong>disponible en trois largeurs de sellerie au choix :  600,  700 ou 800 mm.</p>
<p style=""text-align:justify;"">La fabrication du divan intègre de nombreux matériaux robustes et durables : sellerie en similicuir ignifuge de catégorie M1 (classé comme élément « ininflammable »), mousse de rembourrage de 8 cm d’épaisseur, piètement en tubes ronds de 32 mm de diamètre entièrement peint époxy (coloris 7035 : gris clair).</p>
<p style=""text-align:justify;"">Le dossier est inclinable en toutes positions par un système mécanique autobloquant.</p>
<p style=""text-align:justify;"">Le<strong> divan d'examen Carina 124 à hauteur fixe</strong> intègre un porte rouleau pour draps à usage unique (largeur standard 55 cm).</p>
<p> </p>
<p><span style=""text-decoration:underline;""> Modèles au choix :</span></p>
<p>- Hauteur 65 cm ou 80 cm</p>
<p>- Largeur 600, 700 ou 800 mm</p>
<p></p>
<p> </p>
<p style=""text-align:center;""><span style=""color:#ff0000;""> ________________________________________________________________________________________________________________</span></p>
<p style=""text-align:center;""><span style=""text-decoration:underline;""><span style=""color:#ff0000;text-decoration:underline;"">Transport du mobilier :</span></span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;""><strong>Livraison de base pas de porte à l'adresse indiquée.</strong></span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">Pour toute livraison en RDC ou à l'étage, merci d'ajouter une des deux prestations de la fiche référence 91334RES.</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">Pour information, la souscription de cette prestation supplémentaire implique un allongement du délai de livraison de 10 jours ouvrés</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;"">par rapport au délai annoncé sur le site.</span></p>
<p style=""text-align:center;""><span style=""color:#ff0000;""> ________________________________________________________________________________________________________________</span></p>
</div>";https://www.hexamed-leasing.fr/30016-home_default/divan-d-examen-hauteur-fixe-modele-124.jpg
