Code NAF,Raison Sociale,Groupe,Adresse,Code Postal,Ville,Tel Standard,Secteurs,Type,Observations
,PROFERM,,,,,0320959390,,prospect ,
,PROLAIDIS,,14 r Croix Bougart ,59810,Lesquin,+33 3 20 96 69 00,Négoce-Commerce de gros industriel|Distribution/,prospect ,On ne me donne pas le nom de la pers en charge du recrutement. elle est en congé rapp le 03/05/2011
4673A,PROLAKAL,,9 rue de Gamand_x000D_CRT 1,59817,Lesquin,+33 3 20 37 70 43,,prospect ,"acti : traitement de surface_x000D__x000D_12/05/11 : pas de rép_x000D_16/05/11 : pas de rép_x000D_17/05/11  : pas de rép : l'entreprise a du fermer,pas de coordonnées sur @"
,PROMESSE DE FLEURS,,,59,Houplines,0361760810,,prospect ,"eu mme verhoeke, associée au tel le 28/09/2011._x000D_A racheté l'entreprise il y a 3 ans - CA X3 en 3 ans._x000D_8/9 personnes à l'année + saisonnier - aura besoin de recrutement d'ici à 18 mois / 2 ans"
,PROMOD,,chemin Verseau _x000D__x000D_,59700,Marcq en Baroeul,+33 3 20 01 10 00,Distribution spécialisée|Distribution/,prospect ,*http://www.nordjob.com/entreprise/2200/Promod.htm  (r comptable frs)_x000D__x000D__x000D_06/10/11 : env mail Mme PORTIER portier@promod.fr_x000D_12/10/11 : env  mail_x000D_19/10/11 : laisser message_x000D_03/11/11 : Seb à un contact plus direct
2223Z,PROSERCAL,,rue de la voyette_x000D_CRT 2,59818,LESQUIN,+33 3 20 62 17 17,,prospect ,"> Fabrication d'éléments en matières plastiques pour la construction_x000D__x000D_10/05/11 : échange avec Mme DELANOIX, commercial. ça fait 3 ans que l'entreprise n'apas recruté des emplois ""qualifiés"", mais en cas de besoin passe par GEMO-interim. C'est eux qui gère aussi les postes intérim de fabrication. _x000D_Envoie mail pour ce faire connaître contact@prosercal.com"
,PROSERVIA,,6 Avenue Louis Néel_x000D__x000D_,59260,Lezennes,+33 3 20 06 33 44,SSII|Services - Conseil/,prospect ,"Recrute un Technicien d'Exploitation, un Ingénieur Systèmes et Réseaux en mars"
,PROUVOST,,57 rue des carliers,59200,Tourcoing,0320264065,Distribution spécialisée|Distribution/,prospect ,
,PROVOST DISTRIBUTION,,,59960,Neuville en Ferrain,0320115353,Distribution spécialisée|Distribution/,prospect ,Laetita Crimi est responsable des recrutements cadres._x000D_Part en Congé maternité et rentre en septembre. ok pour un rendez vous_x000D_2 à 3 recrutements par Cabinet par an. A deja des partenaires mais est ouvert à d'autyres opportunités.
,PRUVOST LEROY SARL,,50 Rue Principale,62120,Saint Hilaire Cottes,+33 3 21 64 31 80,Agroalimentaire-Tabac|Industrie/,prospect ,"Appelé le 22/03_x000D_Travaille avec Pole emploi, pas de difficultes de recrutement."
,QUADRA INFORMATIQUE,,68 R DU DOCTEUR ELOY_x000D__x000D_,59133,Phalempin,+33 3 28 16 16 00,Services - Conseil|,prospect ,Appelé le 29/03_x000D_Contacter Mr RYS commercial et responsable du recrutement
,QUALICONSULT,,1 b rue Petit Clamart_x000D_,78140,Velizy Villacoublay,+33 1 40 83 75 75,Autres Services aux Entreprises|Services - Conseil/,prospect ,"*contrôle techinque du bâtiment_x000D__x000D_24/05/11 : contact Mlle JOYEUX ont besoin d'un cabinet de chasse pour le poste d'ingénieur, souhaite un mail pour mieux nous connaître et voir ce que l'ont fait. RDV téléphonque mardi 31/06 à 9h30_x000D_Recrute ingénieur : http://www.lavoixemploi.com/nos-offres-emploi/groupe-qualiconsult/ing%C3%A9nieur-confirm%C3%A9_x000D_Recrute aussi d'autres postes :  http://www.qualiconsult.fr/offres.php_x000D__x000D_06/06/11 : entretien 45min avec julie loyeux. travaille avec un cabinet de recrutement national mais pb pr ingénieur confirmé sur lille et sur Rouen._x000D_envoyée propo le même jour sur ces 2 postes en AD."
,RAMERY,,740 Rue du Bac  ,59193,Erquinghem Lys,,Génie civil-TP|BTP - Construction/,prospect ,
,REDCATS (GOUPE LA REDOUTE 3 SUISSES),,110 Rue de Blanchemaille _x000D_,59100,Roubaix,+33 8 99 23 70 33,,prospect ,
,REDCATS (GROUPE LA REDOUTE ET 3 SUISSES),,"57, rue de Blanchemaille",598082,Roubaix,+33 3 20 69 60 00,Textile-Habillement-Chaussures|Industrie/~Distribution|,prospect ,"*Redcats est l'un des premiers groupes de distribution d'équipement de la personne et de la maison sur internet_x000D_recrute Nord job : http://www.nordjob.com/entreprise/1715/Redcats.htm_x000D__x000D_deb juin : contact Mme FAYOLLE, drh du groupe,  : env mail : s'occupe de tous les recrutements du siège, travail déjà avec des cabR, met l'accent sur le coût, le travail au succès et  la chasse,  sfayol@redoute.fr >  rel 06/06/11, directe 03 20 69 68 70_x000D_08/07/11 : Mme FAYOLLE, accord cadres, pas de besoins, recrute par job board, transmet mes cc > rel par mail à la fin de l'année_x000D_24/01/12 : env mail_x000D_14/02/12 : env mail"
4649Z,REGULA INDUSTRIES,,13 rue des famards_x000D_CRT 2_x000D_,59818,LESQUIN,+33 3 20 16 06 06,Distribution spécialisée|Distribution/,prospect ,"distributeur d'équipement pour travailler le bois (fraiseuses, encoleuse..)_x000D_equipe de 10 pers_x000D_CA 2010 de 800 000€ ( -20% par rapp à 2009)_x000D__x000D_10/05/11 : pas de besoin, petite structure"
4250A,RENAULT TRUKS SIEGE ARRAS,,Allée du Portugal - _x000D_ZA Artoispole _x000D_,62118,MONCHY LE PREUX,+33 3 21 23 47 45,Automobile-Moto-Cycles-Equipementiers|Industrie/,prospect ,"*vente et distibution de véhicules poids lourds_x000D__x000D_* contact Mme POTIELA : ok pour un rdv le 14/06 à 10h30, recrute le plus souvent des mécaniciens, mais auss cadres, intéressée de nous connaitre"
,RENOLD BRAMPTON,,ZI A - rue de la pointe_x000D_BP 90359,59473,SECLIN,+33 3 20 16 29 17,Mécanique-Machines Outils|Industrie/,prospect ,fermé unité de production en novembre 2010_x000D_reste service copmmercial et administratif mais aucun recrutement a prevoir
,RENTOKIL,,4 rue de berzin_x000D_FRETIN CRT 2,59818,LESQUIN,+33 3 20 16 24 20,Autres services aux Particuliers|Services - Conseil/~Autres Services aux Entreprises|Services - Conseil/,prospect ,"* Rentokil est le leader mondial de la lutte contre les nuisible (cafard, guêpes...)_x000D__x000D_27/05/11 : contact stand : c'est le siège  qui s'occupe des R, Mme CALDERA 01 48 94 92 93 , christine.calderia@rentokil-initial.com, recrute sur le NPC_x000D_contact siège : env mail_x000D_07/06/11 : Contact Mme CALDERA : recrute par jobsB et site @, pas de budget pour un cabR_x000D_"
,REPROCOLOR,,,59021,LILLE,0320298789,Distribution spécialisée|Distribution/~Edition-Imprimerie-Presse|Industrie/,prospect ,
,RESIDENCE ART CONCEPT,,,,bailleul,0328401010,Promoteur Immobilier|Immobilier/,prospect ,"Rappeler M rLEGRIN, debut juin. "
4666Z,REX ROTRAY,,4 rue de gamand_x000D_CRT 1,59817,LESQUIN,+33 3 20 87 57 34,Autres Services aux Entreprises|Services - Conseil/,prospect ,"Distribution Photocopieurs multifonctions, Imprimantes laser réseau noir et blanc et couleur et logiciel_x000D__x000D_12/05/11 : contact stand : c'est Mr SPICHT (orthographe), abs_x000D_17/05/11 : contact stand : Mr SPICHT est en vac_x000D_25/05/11 : contact Mr SPITCH : recrute 3 commerciaux,passe des annonces , je sens qu'il a une problématique de pérennité, souhaite travailler avec un cab de recrutement mais souhaite payé 1500€ à 3mois et 1500€ 8 mois plus tard > "" je ne peux pas donner tous avant d'être sûr de la pérénité de l'emplois"", le commercail gagne 700€ de fixe en statut de VRP et pendant 1ans il se fait acccompagner par son chef des ventes pour l'aider à vendre""_x000D_ > on ne peut pas travailler sur le statut vrp, envoie mail avec nos cc rrfr.lille@rex-rotary.fr + je propose nos services sur d'autres postes"
,RICARD SA,,Rue de Seclin_x000D_,59175,Vendeville,+33 3 20 96 55 00,Distribution|,prospect ,
,ROGER DELATTRE,,Z I Boulevard de la Liane _x000D__x000D_,62360,Baincthun,+33 3 21 99 16 11,BTP - Construction|,prospect ,Recrute un Adjoint au DAF et un Dessinateur 14/03/2011_x000D_travaillent avec ennergie - cabinet lillois. 2 appels par jours donc ne veut plus prendre de cabinets.
,ROLAND EMBALLAGES,,101 Rue Paul Vaillant Couturier,59217,Cattenières,+33 9 71 53 12 48,Industrie|,prospect ,
,ROQUETTE FRERES,,r Haute Loge _x000D_,62136,Lestrem,+33 3 21 63 36 00,,prospect ,* transformation des MP végétales_x000D_* http://www.roquette.fr/_x000D__x000D_mai 2011 : Mme DURTETE (recrutement cadre) : très sollicités par cabinet de recrutements. externanlisent 2 à 3 fois par an._x000D_http://www.nordjob.com/entreprise/2952/Roquette.htm_x000D_20/12/11 : Mme DELAPORTE (rh) : Mme DURTETE est en congé jusqu'au 3/01_x000D_mail anne-claire.duretete@roquette.com
,ROTTENDORF PHARMA,,,,valenciennes,+33 3 27 43 45 00,,prospect ,"* la fabrication, le contrôle et le conditionnement des formes orales sèches._x000D_* http://www.rottendorf-pharma.fr/sarl/presentation.html_x000D__x000D__x000D_11/10 :  env mail dorothee.adam@rottendorf.fr _x000D_13/10/11  : contact assisstante (jessica) : pas de besoin, recontacté s+2, _x000D_05/01/12 : env mail jessica.gilles@rottendorf.fr_x000D_02/02/12 : accueil (elle travaille aussi sur le recrutement) pas de besoin_x000D_19/06: rapp en juillet mme adam"
,RPID,,Rue Kepler,62223,Saint Laurent Blangy,+33 3 21 22 80 85,Distribution|,prospect ,Recrute plusieurs Commerciaux sur tout le Nord-Pas-de-Calais 14/03/2011
4531Z,SAIFA NSR,,rue descat_x000D_CRT 1_x000D_BP 90 245,59812,LESQUIN,+33 3 28 55 02 42,Transports-Fret-Messagerie Express|Services - Conseil/,prospect ,"acticivé : poids lours ?_x000D__x000D__x000D_18/05/11 : contact standard : pas de besoins pour le moment, ne recoit pas en rdv, que par téléphone > rel mi juin_x000D_14/06/11 : pas de besoins + mauvais contact"
,SAINT MACLOU,,330 Rue Carnot,59150,Wattrelos,+33 3 20 75 15 85,Hyper-Super-Grands Magasins|Distribution/,prospect ,"_x000D_*tel centrale : 03 20 81 56 30_x000D__x000D_20/06/11 : contact Mme POULET : recrute en interne, font aussi appel à des cabR, me dit d'envoyer un mail pour être référencer  sandrine.poullet@saint-maclou.com > rel juin pour connaitre l'avancement, _x000D_17/07/11 contact Mme POULET : peut être un besoin de controlleur de gestion mais elle n'a pas de visibilité sur le profil et rien d'urgent, me recontacte pour me faire part du besoin > relancer pour voir l'avancement_x000D_2/07/11 : Mme Poulet : elle a missioné un autre cabR pour le poste de controlleur de gestion, mais nous pouvons travailler pour elle, sans passer d'annonces et sans mantionner le nom de St Maclou afin de ne pas courcicuiter l'autre cabr, souhaite que l'on lui envoie des cv par mail > mais je  refuse, rel rentrée_x000D_15/12/11 : elle met en place un gros projet RH je crois, la recontacter fin mai pour re prendre contact ou elle le fera si il y du mouvement. très bon contact"
4752B,SALTHYS SECURITE,,40 rue des famards_x000D_acticzente bat J CRT 2,59810,Lesquin,+33 3 20 07 95 19,Distribution spécialisée|Distribution/,prospect ,acti : surveillance et gardienage_x000D__x000D_11/05/11 : petite structure
,SALTI BOULOGNE.,,"33 BD DE LA LIANE _x000D_62200 BOULOGNE-SUR-MER , PAS-DE-CALAIS ",,boulogne sur mer,03 21 31 99 00,Services - Conseil|,prospect ,
,SANDERS NORD,,rue Canal ,62223,Saint Nicolas,+33 3 21 60 40 40,Agroalimentaire-Tabac|Industrie/,prospect ,Appelé le 22/03_x000D_Contacter Mr PLISSON
,SANDY,,447 rue victor fichelle,59310,Auchy lez Orchies,0320646949,Distribution spécialisée|Distribution/,prospect ,
,SANTEXCEL,,,59350,Saint André lez Lille,0825825398,Services Santé|Services - Conseil/,prospect ,ne veulent pas travailler avec des cabinets de recrutements
,SAS CARTER CASH,,8 Rue Frenelet_x000D_,59650,Villeneuve d'Ascq,03 20 33 84 03,Services - Conseil|,prospect ,CHEF DE PROJET INFORMATIQUE _x000D_DIRECTEUR REGIONAL
,SCHENKER-JOYAU,,r Sapins_x000D_,59810,Lesquin,+33 3 20 62 28 60,Transports-Fret-Messagerie Express|Services - Conseil/,prospect ,Appelé l e19/04_x000D__x000D_Mr DECOMENIL
4669B,SCHONENBERGER FRANCE,,rue des famards_x000D_acticentre CRT 2,59818,LESQUIN,+33 3 20 87 66 96,Conseil|Services - Conseil/,prospect ,"*bureau de gestion, d'étude et de conseil multidisciplinaire dans le secteur de la logistique interne. N_x000D__x000D_17/05/11 : contact resp RH Mr PATERNOVER : tous les recrutements se font en interne, ne font pas appel à des cabinets de recrutements à cause du coût, tout ce passe bien pour le moment même pour des postes pointus > rel fin d'année_x000D_13/12/11 : idem"
,SCUTUM,,,94536,RUNG,+33  1 41 73 40 10,Services - Conseil|,prospect ,"* protection de bâtiement : alarme, vidéo_x000D__x000D_16/06 Contact Md ROUSSEL : me.roussel@scutum.fr, passe par des cabR, travail déjà avec 2 cabR qui recrutent sur toute la France, env mail > la rel à la rentrée"
4652Z,SDA BFT NORD,,13 rue de gamand_x000D_CRT 1_x000D_BP 257,59812,LESQUIN,+33 3 20 90 40 80,Distribution spécialisée|Distribution/,prospect ,"acti : distribution poratil,porte auto, alarmes.... : Protection du bâtiment_x000D__x000D_12/05/11: contact standard : c'est le dg Mr MAURIZI qui gère les rh_x000D_18/05/11 : env mail : contact@sda-bft.com_x000D_19/05/11 : gère SMF SERVICES_x000D_27/05/11 : abs, renv mail_x000D_09/06/11 : impossible à joindre "
,SDEZ,,,59910,Bondues,0320280202,Autres Services aux Entreprises|Services - Conseil/,prospect ,
2573B,SECO TOOLS,,rue des famards_x000D_Acticentre Bât M CRT 2_x000D_BP353,59813,LESQUIN,+ 33 3 20 86 29 75,Mécanique-Machines Outils|Industrie/,prospect ,"fabriacation d'applications d'usinage telles que : fraisage, tournage, holemaking (perçage et alésage) fraisage carbure monobloc, attachements et environnement machine._x000D__x000D_vérifier CC > une seul adresse sur le site pour la france à BOURGES (18)_x000D_"
,SEFAR FYLTIS,,parc des Industries Artois Flandres ,62092,haisnes,+33 3 21 08 70 70,,prospect ,Appelé le 22/03_x000D_Repondeur.
,SELECTA,,Zone Industrielle Rue De La Marliere,59710,Avelin,+33 3 28 55 25 59,Distribution spécialisée|Distribution/,prospect ,"Le siège est à Paris. A Avelin c'est le site approvisionnement. Ils recrute donc des approvisionneurs et passe par Addeco, beaucoup de CDD et intérim. Contacter Maxence Deleigne (directeur de l'agence) pour plus d'infos."
,SEMECA HOLDING,,,62131,Verquin,0321631122,,prospect ,redressement judiciaire en 2011
,SEMENCES FRANCE,,62 Rue Leon Beaucham,59930,La Chapelle d'Armentières,+33 3 20 48 41 41,Négoce-Commerce de gros industriel|Distribution/,prospect ,Sont en contrat avec Randtad. Claudie Jouan (DRH) ne souhaite pas me prendre en ligne. Mail ennvoyé.
,SERAX,,,,Comines,0825827124,Mécanique-Machines Outils|Industrie/,prospect ,
,SERGIC,,6 rue konrad adenauer,59447,Wasquehal,+33 3 20 12 50 83,Habitation – Gestion locative|Immobilier/,prospect ,25/03 : travaille avec des cabinets de recrutements spécialisé dans l'immobilier car contaxte de travail très particulier
,SFAM,,,59,ARMENTIERES,+33 3 20 77 45 39,Métallurgie-Sidérurgie|Industrie/,prospect ,
,SIEMENS,,Rue Jules Verne_x000D__x000D_,59790,Ronchin,+33 3 20 59 93 00,Industrie|,prospect ,"Mme six, RH nord part ern retraite et ne sera pas remplacé._x000D_sont à la recherche de partenaires dans le nord!_x000D_Contact avec Marie gilbert assisante de Sandrine MODELON à Buc ( siege social). envoyé mail._x000D_A relancer_x000D__x000D_17/05 XXXXXXXX_x000D__x000D_"
,SII,,10 allée du chateau blanc- batiment C1,59290,Wasquehal,0328325103,SSII|Services - Conseil/,prospect ,"thierry chevalier est un ex logica_x000D_demande de propal pour un ingenieur commercial (45KE) en mars 2011 à 20%. trop cher, même à 18%au succès. revient vers moi si ne trouve pas._x000D_"
,SIO,,16 rue du Général de Gaulle BP 70099 ,62223,Saint Laurent Blangy,+33 3 21 60 98 00,Distribution spécialisée|Distribution/,prospect ,Recrute un Assistant Ordonnancement Import. 14/03/2011
4332B,SITEX,,27 rue de Roubaix_x000D_BP 432_x000D__x000D_,59338,TOURCOING,+33 3 20 28 17 77_x000D_,Autres Services aux Entreprises|Services - Conseil/,prospect ,"* Avec ses équipes propres et ses marques dédiées, Sitex est le spécialiste de l’installation et de la maintenance multitechnique au sein de Rabot Dutilleul, groupe indépendant de promotion-construction-maintenance : garantit la conformité de vos installations et la performance énergétique de vos bâtiments_x000D_* onglet emploi_x000D__x000D_16/05/11 :contact standard : absente > rel demain après midi_x000D_17/05/11: contact standard : c'est Mme JAQUEMIN qui s'occupe des rh > rel_x000D_26/05/11 : env mail ljacquemin@rabotdutilleul.com : permanence le mardi et le jeudi_x000D_31/05/11 : contact stand : accords cadre + pas de besoins > rel fin d'année"
,SKAKO CONCRET ( ANCIEN COUVROT),,rue des sequoias_x000D_BP 60 438 PAM,59814,LESQUIN,+33 3 20 24 44 13,Second Œuvre|BTP - Construction/,prospect ,"Effectif : 51 à 100P_x000D_CA : 10 à 25M€_x000D_Concepteur et fournisseur d'équipements destinés à la préfabrication du béton ( malaxeurs, mélangeurs, centrales à béton fixes et mobiles)._x000D_mauvaise situation économique - à rappeller fin d'année_x000D__x000D_10/*11 : fdehon@skako.fr_x000D_skako concret : nouveau nom_x000D_recherche un directeur inbformatique et un responsable SAV_x000D_"
,SLD,,Centre de Gros n°2_x000D_Route du Chemin Vert_x000D_,59810,Lesquin,+33 3 20 88 74 83,,prospect ,
2521Z,SMF SERVICES,,13 rue de gamand_x000D_CRT 1,59810,Lesquin,+33 3 20 90 40 90,Mécanique-Machines Outils|Industrie/,prospect ," fabrication et vente porte de garage, portail alu, porte sectionnelle._x000D__x000D_13/05/11 : contact standard : c'est Mr MAURIZI qui s'occupe des recrutements, abs_x000D_16/05/11 :  contact standard : abs_x000D_17/05/11 :  contact standard : abs_x000D_19/05/11 : Mr MAURIZI gère aussi SDA BFT _x000D_"
2512Z,SMS DISTRIBUTION,,Bd du Petit Quinquin_x000D_Centre de Gros_x000D_,59818,LESQUIN,+33 3 20 16 70 97,Distribution spécialisée|Distribution/,prospect ,"*Vente auprès des professionels de matéreil électroménager et vidéo depuis 30 dans la région Nord._x000D__x000D_10/05/11 :  c'est Mr SROKA qui gère les rh du  Nord et Pas de Calais, en vac, rap lundi, 03 20 16 10 93 (ligne dir)_x000D_18/05/11 : contact Mr SROKA : pas le temps et pas de besoin, lui envoyer un mail et le recontacter en fin d'année, pas fermé > env mail + rel septembre"
,SNBM,,rue Jules verne_x000D_FRETIN CRT 3,59818,lesquin,+33 3 20 07 38 67,,prospect ,"*SNBM-Paysage est une entreprise moderne, spécialisée dans la création de jardins sur-mesure, en totale harmonie avec l'environnement. _x000D__x000D_*contact stand : recrute par agence ouvriers et de temps en temps cadres, c'est Mr GRINE (dir ad et financier), abs_x000D_25/03/11 : pas de besoins pour le moment, recrute par interim + annonces > fin d'année_x000D_said.grine@atelian.com_x000D__x000D_29/11/11 : pas de besoin, recrute intérimaires_x000D_"
,SNLC,,r Landacres ,62360,Hesdin l'Abbé,0321304020,Agroalimentaire-Tabac|Industrie/,prospect ,Appelé le 22/03_x000D_Contacter Mme RANA_x000D_Mail envoyé le 12/04
,SNTN CALBERSON,,"B.P. 457 _x000D_59464 Lomme Cédex_x000D_Adresse	 7, Avenue de la Rotonde _x000D_",59160,Lomme,+33 3 20 08 55 55,,prospect ,En contact avec Emmanuelle Saunier (RRH) chez Geodis également.
,SOCIETE GENERALE,,51 rue nationale ,59000,Lille,+33 3 20 63 11 40,Banque - Finance - Assurance|,prospect ,"_x000D_20/05/11 : contact avec assit rh : rdv avec Mr EXMELLIN le 27/05/11 à 10h, 51 rue nationale Lille, 5ème étage, sonner à la porte du millieu, travail avec le cabinet de recrutement hudson, recrute : http://www.nordjob.com/societegenerale/"
,SOCIETE INDUSTRIELLE LESAFFRE,,137 Rue Gabriel Péri_x000D_,59700,Marcq en Baroeul,03 20 81 61 00,Industrie|,prospect ,Appelé le 21/03_x000D_Sylvie THOREZ (resp recrutement) .
,SOCOTEC,,Direction des Ressources Humaines_x000D_Les Quadrants - 3 avenue de Centre - Guyancourt_x000D_,,Saint Quentin en Yveline,01 30 12 80 00,BTP - Construction|,prospect ," * recrute : http://www.nordjob.com/socotec/_x000D__x000D__x000D_11/08/11 : assistante RH : _x000D_* fonctionne par jobs boards +  agence interim pour placement et CDD + accords cadre avec cabR_x000D_* c'est Mr MIGAIROU qui s'occupe ""d'accepter"" de nouveaux partenaires de recrutement : lui envoyer un mail paul.migairou@socotec.fr_x000D__x000D__x000D_03/11/11 : tout est géré à Paris_x000D__x000D_"
,SODIREP,,280 av Marne ,59700,Marcq en Baroeul,+33 3 20 89 88 87,Textile-Habillement-Chaussures|Industrie/,prospect ,Appelé le 22/03_x000D_Traille avec ADECCO reprendre contact (Amelie).
4669B,SOFIMA,,bd du petit quinquin_x000D_CRT 1,59817,Lesquin,+33 3 20 90 21 21,Distribution spécialisée|Distribution/,prospect ,"*vente de matériels Agricoles et de biens d’équipements_x000D__x000D_10/05/11 : contact LESQUIN :  c'est le siège qui gère les R : 03 21 21 31 60_x000D_10/05/11 : contact stand siège : il interroge le responsable : pas de besoin,  Mr BONNAY jean philippe_x000D_ gère la partie recrutement commercial_x000D_07/06/11 : contact stand : laisser cc + Mr BONNAY dit qu'il n'a pas de besoin pour le moment, jpbonnay@sofima.fr_x000D__x000D_"
4222Z,SOGETREL,,rue de berzin_x000D_CRT 2,59818,LESQUIN,+33 3 20 10 84 84,Electricité-Eclairage|Industrie/,prospect ,"*SOGETREL propose une offre clé en main, sous sa propre marque, pour la réalisation de réseaux : télécom et video_x000D_*onglet emploi_x000D__x000D_18/05/11 : contact Mme GOUSSO : gère les ""partenariats"" avec les cabinets de recrutement et agences interim, font appel à des prestataires extérieurs en cas de difficultées.Semble intéréssée par la chasse. tous le temps en période de recrutement (voir site @) >  RDV téléphonique vendredi 20/05/11 à 10h_x000D__x000D_23/05 : entretien tel avec mme goussot. recherche des partenaires car besoins très spécifiques difficles à pourvoir. travaille avec secure conseil. ok pour bosser avec nous à 20/22% au succès. seul bemol sur notre ""non spécialisation vs la complexité des profils""._x000D_a rappeller cet été pour suivi du dossier te eventuellement travailler avec eux._x000D_"
,SOLOTRA GROUPE TRANSALLIANCE,,zac Eurofrêt ,59279,Craywick,+33 3 82 47 10 18,Transports-Fret-Messagerie Express|Services - Conseil/,prospect ,
4399A,SOPREMA,,rue du chemin vert_x000D_crt 3_x000D_bp 104,59811,LESQUIN,+33 3 20 86 27 69,Second Œuvre|BTP - Construction/,prospect ,"51 à 100 salariés - 8 Conducteurs de Travaux_x000D__x000D_Professionnels et particuliers, pour construire, rénover ou entretenir l'étanchéité de vos toitures-terrasses et le bardage de vos façades, nos Agences Travaux sont à votre service dans toute la France._x000D_Toitures-terrasses photovoltaïque, terrasses végétalisées, terrasses accessibles, vêture...découvrez nos solutions!_x000D__x000D_recrute régulièrement des conducteurs de travaux des dessinateurs préparateurs de chantier_x000D__x000D_04/05 : eu secretaire : les RH sont centralisées sur strasbourg mais les recrutements se font au niveau de l'opérationnel. Le directeur travaille avec des agences locales pour le recrutements cadres et non cadres. 1 partenaire privilégié sur conducteurs de travaux."
4669B,SOVAL,,19 rue de la Voyette_x000D_CRT  2,59818,LESQUIN,+33 20 16 98 20,Distribution spécialisée|Distribution/,prospect ,"* vente matériel aduction d'eau et voirie_x000D_* http://www.soval.fr/fr/produit.htm_x000D__x000D_contact standard : c'est le siège  en haute marne qui gère les R, Mme Poullot DRH, 03 25 56 74 74_x000D_23/05/11 : contact Mme POULLOT : pas de besoin pour le moment, elle sollicite des acteurs locaux les plus proches du besoin, recrute très peu de cadres, le plus souvent c'est des magasiniers. envoyer un mail pour être référencé drh@soval.fr > rel en été_x000D_26/07/11 : Mme POULLLOT : pas de besoin pour cette année > rel fin d'année voir debut année prochaine_x000D_18/01/12 : """" : juste besoin d'un magasinier> la rel par mail"
,SPC,,imp Salines,62105,CALAIS,+33 3 21 96 19 44,Textile-Habillement-Chaussures|Industrie/,prospect ,Appelé le 22/03_x000D_Contacter Mr Gilles TELLIER
,SPEEDWICH FRANCE SAS,,Z.I Parc Horizon 2000_x000D_,62117,Brebières,0321507650,Distribution spécialisée|Distribution/,prospect ,ENVIRON 80 P dont 50 en production
,SPUNTINI FRANCE,,Rue des Tisserands_x000D_Parc de l'Avelin,59150,Wattrelos,+33 3 20 99 94 00,Distribution|,prospect ,"*Fort d'une expérience de plus de 20 ans, nous sommes spécialistes dans la distribution des plus grandes marques de produits snacks belges de qualité supérieure destinés aux professionnels. _x000D__x000D_15/06/11 : contact Mr SOULIER :  recrute par ses propres moyens ou par réseaux d'amis, intéressé de nous rencontrer après ses vacances_x000D__x000D_20/07/11 : Mr SOULIER : travaille avec 2 agences de travail temporaire + bouche à oreille pour les cadres : rdv le 03/08/11 à 10h30_x000D__x000D_03/08/11 : rdv avec Mr SOULIER : pas de besoin dans l'imédiat, doit rendre son rapport d'activité au PDG du groupe mi septembre, rel, int par notre approche, nous demande si on peut l'aider dans le choix entre deux candidatures, > rel septembre_x000D__x000D_06/10/11 : pas de besoin pour le moment_x000D_5/04/12: mr soulier est en vacances, le recontacter à partir du 10/04_x000D_19/06: la rappeler lundi 25/06_x000D_25/06: portable mr soulier 06 12 74 12 38_x000D_26/06: en congés jusquau 16 Juillet, le contacter à partir du 18/19 JUillet"
46669B,STAMI,,rue de gamand_x000D_CRT 1,59817,Lesquin,+33 3 20 85 25 85,Distribution spécialisée|Distribution/,prospect ,"> appareils de mesure, de contrôle, de régulation et de détection_x000D__x000D_10/05/11 : contact standard : eff 40, recrutement en interne, c'est Mr DUCOURANT qui gère les RH,_x000D_10/05/11 : contact Mr DUCOURANT : recrute principalement des mécaniciens/poseurs.. et peu de technico. Ne souhaite pas mettre de l'argent dans du recrutement mais pourquoi pas nous contacter quand il rencontre des difficultés + nous référencer auprès de son entourage. bon échange._x000D_le rappeler à la rentrée (x.ducourant@spac-vul.fr)"
,STAMI,,,59100,Roubaix,0320362548,Second Œuvre|BTP - Construction/,prospect ,contact esperance
,STANDARD INDUSTRIE,,139 r Luxembourg 59100 ROUBAIX ,,roubaix,+33 3 20 28 32 32,Industrie|,prospect ,*recrute : http://www.l4m.fr/entreprise/nord/roubaix-cedex-1/metiers-de-l-industrie/standard-industrie-1213_x000D__x000D_09/06/11; contact Mme BAILLOT Pauline : ne souhaite pas travailler avec des cabinets de rercutement car l'entreprise souhaite maîtriser le procesus_x000D__x000D_18/10/11 : avis inchangé
,STERIA,,59 Avenue Marne_x000D__x000D__x000D_,59700,Marcq en Baroeul,+33 3 28 33 62 00,Services - Conseil|,prospect ,Appelé le 29/03_x000D_Responsable Mmme DUPRIE Marie Pierre
,STI PRÉVENTION,,"169, rue Sadi Carnot ",59350,Saint André lez Lille,+33 3 28 53 54 89,Services - Conseil|,prospect ,Recrute 2 Commerciaux (Lille et Valenciennes) 14/03/2011_x000D_ne pas rappeller
